,,scale_consistency,scale_consistency,scale_consistency,pitch_entropy,pitch_entropy,pitch_entropy,pitch_class_entropy,pitch_class_entropy,pitch_class_entropy,note_density,note_density,note_density,pitch_range,pitch_range,pitch_range,avg_polyphony,avg_polyphony,avg_polyphony
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
model_type,setting,,,,,,,,,,,,,,,,,,
lstm,conservative,0.9888,0.012535191840684344,30,3.1917405322800136,0.19387452455494666,30,2.7371019063357473,0.09218839891497886,30,4.0,0.0,30,19.1,2.523680946007513,30,1.0,0.0,30
lstm,balanced,0.9583999999999999,0.0305282232334786,30,3.5360477786278937,0.20115828349106646,30,2.8980186799400482,0.12235529887427142,30,4.0,0.0,30,38.56666666666667,7.7133262798127875,30,1.0,0.0,30
lstm,creative,0.8165333333333333,0.04697448561560387,30,4.598177880480816,0.2750417219653164,30,3.3164916845895225,0.08838156385058925,30,4.0,0.0,30,51.2,1.1264836959500915,30,1.0,0.0,30
gru,conservative,0.9835999999999999,0.023846636428761125,30,3.1084162941662044,0.25823538144329605,30,2.696861624920198,0.12226328741988139,30,4.0,0.0,30,19.066666666666666,5.355843301597273,30,1.0,0.0,30
gru,balanced,0.958,0.03701630581989139,30,3.424947692884422,0.2856810465494019,30,2.8625772931729636,0.18481021987161214,30,4.0,0.0,30,33.233333333333334,13.257875560127124,30,1.0,0.0,30
gru,creative,0.7993333333333333,0.05044446132293336,30,4.684680117025077,0.3258010117487526,30,3.3396368710047555,0.08894311544407275,30,4.0,0.0,30,50.9,1.268993627874549,30,1.0,0.0,30
transformer,conservative,0.9936,0.020303898045992728,30,2.2160807760375456,0.5493763065312454,30,2.0416318455388938,0.4343227484327518,30,4.0,0.0,30,14.733333333333333,2.362542951017462,30,1.0,0.0,30
transformer,balanced,0.9797333333333333,0.02470087717740676,30,2.920049152856387,0.46721366080126014,30,2.5526128079960366,0.29933757234591757,30,4.0,0.0,30,19.5,5.79982163816119,30,1.0,0.0,30
transformer,creative,0.9025333333333333,0.03231710696053798,30,3.9415536927337866,0.28151071346500395,30,3.094202765570983,0.09232828519320706,30,4.0,0.0,30,47.13333333333333,3.5207104821116104,30,1.0,0.0,30
